ticker,cik,symbol,description,gics_sector,equity_securities,cap_size,sector_revenue_total_(trillions),total_cap_(trillions),company_name,fiscal_period,fiscal_year,filing_date,is_basic_earnings_per_share_order,is_basic_earnings_per_share_unit,is_basic_earnings_per_share_value,is_cost_of_revenue_order,is_cost_of_revenue_unit,is_cost_of_revenue_value,is_gross_profit_order,is_gross_profit_unit,is_gross_profit_value,is_operating_expenses_order,is_operating_expenses_unit,is_operating_expenses_value,is_revenues_order,is_revenues_unit,is_revenues_value,ci_comprehensive_income_loss_order,ci_comprehensive_income_loss_unit,ci_comprehensive_income_loss_value,ci_comprehensive_income_loss_attributable_to_parent_order,ci_comprehensive_income_loss_attributable_to_parent_unit,ci_comprehensive_income_loss_attributable_to_parent_value,ci_other_comprehensive_income_loss_order,ci_other_comprehensive_income_loss_unit,ci_other_comprehensive_income_loss_value,cfs_exchange_gains_losses_order,cfs_exchange_gains_losses_unit,cfs_exchange_gains_losses_value,cfs_net_cash_flow_order,cfs_net_cash_flow_unit,cfs_net_cash_flow_value,cfs_net_cash_flow_from_financing_activities_order,cfs_net_cash_flow_from_financing_activities_unit,cfs_net_cash_flow_from_financing_activities_value,bs_assets_order,bs_assets_unit,bs_assets_value,bs_current_assets_order,bs_current_assets_unit,bs_current_assets_value,bs_liabilities_and_equity_order,bs_liabilities_and_equity_unit,bs_liabilities_and_equity_value,bs_fixed_assets_order,bs_fixed_assets_unit,bs_fixed_assets_value,bs_equity_attributable_to_noncontrolling_interest_order,bs_equity_attributable_to_noncontrolling_interest_unit,bs_equity_attributable_to_noncontrolling_interest_value,bs_noncurrent_assets_order,bs_noncurrent_assets_unit,bs_noncurrent_assets_value,bs_liabilities_order,bs_liabilities_unit,bs_liabilities_value,bs_other_than_fixed_noncurrent_assets_order,bs_other_than_fixed_noncurrent_assets_unit,bs_other_than_fixed_noncurrent_assets_value,bs_equity_attributable_to_parent_order,bs_equity_attributable_to_parent_unit,bs_equity_attributable_to_parent_value,bs_noncurrent_liabilities_order,bs_noncurrent_liabilities_unit,bs_noncurrent_liabilities_value,bs_current_liabilities_order,bs_current_liabilities_unit,bs_current_liabilities_value,bs_equity_order,bs_equity_unit,bs_equity_value
AAPL,320193,AAPL,Apple Inc,Information Technology,Common stocks,Large cap,5.8,46.3,Apple Inc.,Q3,2023,2023-08-04,4200.0,USD / shares,1.27,300.0,USD,45384000000.0,800.0,USD,36413000000.0,1000.0,USD,13415000000.0,100.0,USD,81797000000.0,100.0,USD,19826000000.0,300.0,USD,19826000000.0,400.0,USD,19826000000.0,,,,1100.0,USD,2769000000.0,700.0,USD,-24048000000.0,100.0,USD,335038000000.0,200.0,USD,122659000000.0,1900.0,USD,335038000000.0,400.0,USD,43550000000.0,1500.0,USD,0.0,300.0,USD,212379000000.0,600.0,USD,274764000000.0,500.0,USD,212379000000.0,1600.0,USD,60274000000.0,800.0,USD,149801000000.0,700.0,USD,124963000000.0,1400.0,USD,60274000000.0
MSFT,789019,MSFT,Microsoft Corp,Information Technology,Common stocks,Large cap,5.8,46.3,MICROSOFT CORP,FY,2023,2023-07-27,4200.0,USD / shares,9.72,300.0,USD,65863000000.0,800.0,USD,146052000000.0,1000.0,USD,57529000000.0,100.0,USD,211915000000.0,100.0,USD,70696000000.0,300.0,USD,70696000000.0,400.0,USD,70696000000.0,,,,1100.0,USD,20967000000.0,700.0,USD,-43935000000.0,100.0,USD,411976000000.0,200.0,USD,184257000000.0,1900.0,USD,411976000000.0,400.0,USD,95641000000.0,1500.0,USD,0.0,300.0,USD,227719000000.0,600.0,USD,205753000000.0,500.0,USD,132078000000.0,1600.0,USD,206223000000.0,800.0,USD,101604000000.0,700.0,USD,104149000000.0,1400.0,USD,206223000000.0
UNH,731766,UNH,Unitedhealth Group Inc,Health Care,Common stocks,Large cap,2.8,46.3,UNITEDHEALTH GROUP INC,Q2,2023,2023-08-02,4200.0,USD / shares,5.89,300.0,USD,9748000000.0,800.0,USD,83155000000.0,1000.0,USD,75098000000.0,100.0,USD,92903000000.0,100.0,USD,5556000000.0,300.0,USD,5373000000.0,400.0,USD,-101000000.0,1000.0,USD,55000000.0,1100.0,USD,-100000000.0,700.0,USD,-10459000000.0,100.0,USD,280164000000.0,200.0,USD,89869000000.0,1900.0,USD,280164000000.0,400.0,USD,10926000000.0,1500.0,USD,5015000000.0,300.0,USD,190295000000.0,600.0,USD,188008000000.0,500.0,USD,179369000000.0,1600.0,USD,82353000000.0,800.0,USD,75027000000.0,700.0,USD,112981000000.0,1400.0,USD,87368000000.0
JNJ,200406,JNJ,Johnson & Johnson,Health Care,Common stocks,Large cap,2.8,46.3,JOHNSON & JOHNSON,Q2,2023,2023-07-31,4200.0,USD / shares,1.98,300.0,USD,8212000000.0,800.0,USD,17318000000.0,1000.0,USD,10556000000.0,100.0,USD,25530000000.0,100.0,USD,4087000000.0,300.0,USD,4087000000.0,400.0,USD,-1057000000.0,1000.0,USD,-97000000.0,1100.0,USD,-5682000000.0,700.0,USD,-5991000000.0,100.0,USD,191686000000.0,200.0,USD,60567000000.0,1900.0,USD,191686000000.0,400.0,USD,20576000000.0,1500.0,USD,1260000000.0,300.0,USD,131119000000.0,600.0,USD,115277000000.0,500.0,USD,110543000000.0,1600.0,USD,75149000000.0,800.0,USD,61107000000.0,700.0,USD,54170000000.0,1400.0,USD,76409000000.0
V,1403161,V,Visa Inc Class A,Information Technology,Common stocks,Large cap,5.8,46.3,VISA INC.,Q3,2023,2023-07-26,,,,,,,,,,1000.0,USD,3099000000.0,100.0,USD,8123000000.0,100.0,USD,4168000000.0,300.0,USD,4168000000.0,400.0,USD,12000000.0,1000.0,USD,16000000.0,1100.0,USD,1911000000.0,700.0,USD,-3919000000.0,100.0,USD,89234000000.0,200.0,USD,31670000000.0,1900.0,USD,89234000000.0,400.0,USD,3370000000.0,1500.0,USD,0.0,300.0,USD,57564000000.0,600.0,USD,50253000000.0,500.0,USD,54194000000.0,1600.0,USD,38981000000.0,800.0,USD,29023000000.0,700.0,USD,21230000000.0,1400.0,USD,38981000000.0
XOM,34088,XOM,Exxon Mobil Corp,Energy,Common stocks,Large cap,2.2,46.3,EXXON MOBIL CORP,Q2,2023,2023-08-01,4200.0,USD / shares,1.94,,,,,,,1000.0,USD,71258000000.0,100.0,USD,82914000000.0,100.0,USD,8691000000.0,300.0,USD,8318000000.0,400.0,USD,538000000.0,1000.0,USD,30000000.0,1100.0,USD,-3119000000.0,700.0,USD,-8176000000.0,100.0,USD,363248000000.0,200.0,USD,91760000000.0,1900.0,USD,363248000000.0,400.0,USD,206736000000.0,1500.0,USD,7951000000.0,300.0,USD,271488000000.0,600.0,USD,156251000000.0,500.0,USD,64752000000.0,1600.0,USD,199046000000.0,800.0,USD,94436000000.0,700.0,USD,61815000000.0,1400.0,USD,206997000000.0
WMT,104169,WMT,Walmart Stores Inc,Consumer Staples,Common stocks,Large cap,2.6,46.3,Walmart Inc.,Q1,2024,2023-06-02,4200.0,USD / shares,0.62,300.0,USD,115284000000.0,800.0,USD,37017000000.0,1000.0,USD,30777000000.0,100.0,USD,152301000000.0,100.0,USD,2638000000.0,300.0,USD,2206000000.0,400.0,USD,742000000.0,1000.0,USD,154000000.0,1100.0,USD,1867000000.0,700.0,USD,1940000000.0,100.0,USD,245053000000.0,200.0,USD,78511000000.0,1900.0,USD,245053000000.0,400.0,USD,102335000000.0,1500.0,USD,6826000000.0,300.0,USD,166542000000.0,600.0,USD,165822000000.0,500.0,USD,64207000000.0,1600.0,USD,72405000000.0,800.0,USD,70317000000.0,700.0,USD,95505000000.0,1400.0,USD,79231000000.0
JPM,19617,JPM,JP Morgan Chase & Co,Financials,Common stocks,Large cap,2.7,46.3,JPMORGAN CHASE & CO,Q2,2023,2023-08-03,4200.0,USD / shares,4.76,,,,,,,1000.0,USD,23721000000.0,100.0,USD,41307000000.0,100.0,USD,14600000000.0,300.0,USD,14600000000.0,400.0,USD,14600000000.0,1000.0,USD,-1584000000.0,1100.0,USD,-50877000000.0,700.0,USD,-49915000000.0,100.0,USD,3868240000000.0,200.0,USD,3868240000000.0,1900.0,USD,3868240000000.0,400.0,USD,29493000000.0,1500.0,USD,0.0,300.0,USD,0.0,600.0,USD,3555724000000.0,500.0,USD,-29493000000.0,1600.0,USD,312516000000.0,800.0,USD,0.0,700.0,USD,3555724000000.0,1400.0,USD,312516000000.0
PG,80424,PG,Procter & Gamble,Consumer Staples,Common stocks,Large cap,2.6,46.3,PROCTER & GAMBLE Co,FY,2023,2023-08-04,4200.0,USD / shares,6.07,300.0,USD,42760000000.0,800.0,USD,39246000000.0,1000.0,USD,21112000000.0,100.0,USD,82006000000.0,100.0,USD,14700000000.0,300.0,USD,14622000000.0,400.0,USD,-38000000.0,1000.0,USD,-170000000.0,1100.0,USD,1032000000.0,700.0,USD,-12146000000.0,100.0,USD,120829000000.0,200.0,USD,22648000000.0,1900.0,USD,120829000000.0,400.0,USD,21909000000.0,1500.0,USD,288000000.0,300.0,USD,98181000000.0,600.0,USD,73764000000.0,500.0,USD,76272000000.0,1600.0,USD,46777000000.0,800.0,USD,38008000000.0,700.0,USD,35756000000.0,1400.0,USD,47065000000.0
NVDA,1045810,NVDA,Nvidia Corp,Information Technology,Common stocks,Large cap,5.8,46.3,NVIDIA CORP,Q1,2024,2023-05-26,4200.0,USD / shares,0.83,300.0,USD,2544000000.0,800.0,USD,4648000000.0,1000.0,USD,2508000000.0,100.0,USD,7192000000.0,100.0,USD,2036000000.0,300.0,USD,2036000000.0,400.0,USD,-7000000.0,,,,1100.0,USD,1690000000.0,700.0,USD,-380000000.0,100.0,USD,44460000000.0,200.0,USD,24883000000.0,1900.0,USD,44460000000.0,400.0,USD,3740000000.0,1500.0,USD,0.0,300.0,USD,19577000000.0,600.0,USD,19940000000.0,500.0,USD,15837000000.0,1600.0,USD,24520000000.0,800.0,USD,12680000000.0,700.0,USD,7260000000.0,1400.0,USD,24520000000.0
MA,1141391,MA,Mastercard Inc Class A,Information Technology,Common stocks,Large cap,5.8,46.3,Mastercard Inc,Q2,2023,2023-07-27,4200.0,USD / shares,3.01,,,,,,,1000.0,USD,2613000000.0,100.0,USD,6269000000.0,100.0,USD,2885000000.0,300.0,USD,2885000000.0,400.0,USD,40000000.0,1000.0,USD,20000000.0,1100.0,USD,-279000000.0,700.0,USD,-2779000000.0,100.0,USD,39004000000.0,200.0,USD,16530000000.0,1900.0,USD,39004000000.0,400.0,USD,1986000000.0,1500.0,USD,53000000.0,300.0,USD,22474000000.0,600.0,USD,33425000000.0,500.0,USD,20488000000.0,1600.0,USD,5504000000.0,800.0,USD,18789000000.0,700.0,USD,14636000000.0,1400.0,USD,5557000000.0
CVX,93410,CVX,Chevron Corp,Energy,Common stocks,Large cap,2.2,46.3,CHEVRON CORP,Q2,2023,2023-08-03,4200.0,USD / shares,3.22,300.0,USD,28984000000.0,800.0,USD,19912000000.0,1000.0,USD,12075000000.0,100.0,USD,48896000000.0,100.0,USD,6038000000.0,300.0,USD,6040000000.0,400.0,USD,30000000.0,1000.0,USD,-104000000.0,1100.0,USD,-6499000000.0,700.0,USD,-8748000000.0,100.0,USD,251779000000.0,200.0,USD,42790000000.0,1900.0,USD,251779000000.0,400.0,USD,142768000000.0,1500.0,USD,973000000.0,300.0,USD,208989000000.0,600.0,USD,92481000000.0,500.0,USD,66221000000.0,1600.0,USD,158325000000.0,800.0,USD,62634000000.0,700.0,USD,29847000000.0,1400.0,USD,159298000000.0
TSLA,1318605,TSLA,Tesla Inc,Consumer Discretionary,Common stocks,Large cap,2.9,46.3,"Tesla, Inc.",Q2,2023,2023-07-24,4200.0,USD / shares,0.85,300.0,USD,20394000000.0,800.0,USD,4533000000.0,1000.0,USD,2134000000.0,100.0,USD,24927000000.0,100.0,USD,2429000000.0,300.0,USD,2518000000.0,400.0,USD,-185000000.0,,,,1100.0,USD,-797000000.0,700.0,USD,-328000000.0,100.0,USD,90591000000.0,200.0,USD,43875000000.0,1900.0,USD,90591000000.0,400.0,USD,26389000000.0,1500.0,USD,764000000.0,300.0,USD,46716000000.0,600.0,USD,38409000000.0,500.0,USD,20327000000.0,1600.0,USD,51130000000.0,800.0,USD,10817000000.0,700.0,USD,27592000000.0,1400.0,USD,51894000000.0
