symbol,description,gics_sector,equity_securities,cap_size
CTVA,"Corteva, Inc.",Materials,Common stocks,Large cap
NTR,Nutrien Ltd.,Materials,Common stocks,Large cap
FMC,FMC Corp,Materials,Common stocks,Large cap
MOS,Mosaic,Materials,Common stocks,Large cap
CF,CF Industries Holdings Inc,Materials,Common stocks,Large cap
ICL,Israel Chemicals Limited,Materials,Common stocks,Mid cap
SMG,Scotts Miracle Gro,Materials,Common stocks,Mid cap
UAN,CVR Partners LP,Materials,MLPs,Small cap
AVD,American Vanguard Corp,Materials,Common stocks,Small cap
BIOX,Bioceres Crop Solutions Corp.,Materials,Common stocks,Small cap
IPI,Intrepid Potash Inc,Materials,Common stocks,Small cap
MBII,Marrone Bio Innovations Inc,Materials,Common stocks,Micro cap
RKDA,Arcadia Biosciences Inc,Consumer Staples,Common stocks,Micro cap
CGA,China Green Agriculture Inc.,Materials,Common stocks,Micro cap
SEED,Origin Agritech Limited,Consumer Staples,Common stocks,Micro cap
YTEN,Yield10 Bioscience Inc,Health Care,Common stocks,Micro cap
SVFD,"Save Foods, Inc.",Materials,Common stocks,Micro cap
RYAAY,Ryanair Holdings PLC ADRs,Industrials,ADRs,Large cap
DAL,Delta Air Lines Inc,Industrials,Common stocks,Large cap
LUV,Southwest Airlines,Industrials,Common stocks,Large cap
UAL,United Continental Holdings Inc,Industrials,Common stocks,Large cap
AAL,American Airlines Group Inc,Industrials,Common stocks,Mid cap
ALK,Alaska Air Group Inc,Industrials,Common stocks,Mid cap
ZNH,China Southern Airlines ADRs,Industrials,ADRs,Mid cap
CPA,Copa Holdings SA Class A,Industrials,Common stocks,Mid cap
JBLU,Jetblue Airways Corp,Industrials,Common stocks,Mid cap
CEA,China Eastern Airlines ADRs,Industrials,ADRs,Mid cap
ULCC,"Frontier Group Holdings, Inc.",Industrials,Common stocks,Small cap
SAVE,Spirit Airlines Inc,Industrials,Common stocks,Small cap
ALGT,Allegiant Travel,Industrials,Common stocks,Small cap
SNCY,"Sun Country Airlines Holdings, Inc.",Industrials,Common stocks,Small cap
VLRS,Controladora Vuela Compania de Aviacion S.A.B. de C.V. - Volaris ADRs,Industrials,ADRs,Small cap
SKYW,Skywest Inc,Industrials,Common stocks,Small cap
HA,Hawaiian Holdings Inc,Industrials,Common stocks,Small cap
GOL,Gol Linhas ADRs of preferred shares,Industrials,ADRs,Small cap
MESA,Mesa Air Group Inc.,Industrials,Common stocks,Micro cap
AER,AerCap Holdings NV,Industrials,Common stocks,Large cap
ASR,Grupo Aeroportuario del Sureste ADRs,Industrials,ADRs,Mid cap
PAC,Grupo Aeroportuario del Pacifico ADRs of Series B,Industrials,ADRs,Mid cap
OMAB,Grupo Aeroportuario-OMA ADRs,Industrials,ADRs,Mid cap
JOBY,"Joby Aviation, Inc.",Industrials,Common stocks,Mid cap
AAWW,Atlas Air Worldwide Holdings Inc,Industrials,Common stocks,Small cap
CAAP,Corporacion America Airports SA,Industrials,Common stocks,Small cap
ASLE,AerSale Corporation,Industrials,Common stocks,Small cap
MIC,Macquarie Infrastructure Corp,Industrials,Common stocks,Small cap
BLDE,"Blade Air Mobility, Inc. - Class A",Industrials,Common stocks,Micro cap
UP,Wheels Up Experience Inc. Class A,Industrials,Common stocks,Micro cap
AA,Alcoa Corp,Materials,Common stocks,Mid cap
CSTM,Constellium NV Class A,Materials,Common stocks,Mid cap
ACH,Aluminum Corporation of China ADRs,Materials,ADRs,Small cap
KALU,Kaiser Aluminium Corp,Materials,Common stocks,Small cap
CENX,Century Aluminum,Materials,Common stocks,Small cap
VFC,VF Corp,Consumer Discretionary,Common stocks,Mid cap
RL,Ralph Lauren Corp Class A,Consumer Discretionary,Common stocks,Mid cap
GIL,Gildan Activewear Inc. Class A,Consumer Discretionary,Common stocks,Mid cap
CPRI,Capri Holdings Limited,Consumer Discretionary,Common stocks,Mid cap
COLM,Columbia Sportswear,Consumer Discretionary,Common stocks,Mid cap
PVH,PVH Corp,Consumer Discretionary,Common stocks,Mid cap
UA,Under Armour Inc Class C,Consumer Discretionary,Common stocks,Mid cap
UAA,Under Armour Inc Class A,Consumer Discretionary,Common stocks,Mid cap
ZGN,Ermenegildo Zegna N.V.,Consumer Discretionary,Common stocks,Mid cap
KTB,"Kontoor Brands, Inc.",Consumer Discretionary,Common stocks,Mid cap
OXM,Oxford Industries Inc,Consumer Discretionary,Common stocks,Small cap
HBI,Hanesbrands Inc,Consumer Discretionary,Common stocks,Small cap
LEVI,Levi Strauss & Co,Consumer Discretionary,Common stocks,Small cap
GOOS,Canada Goose Holdings Inc. Subordinate Voting Shares,Consumer Discretionary,Common stocks,Small cap
FIGS,"FIGS, Inc.",Health Care,Common stocks,Small cap
SGC,Superior Uniform Group Inc,Consumer Discretionary,Common stocks,Micro cap
LAKE,Lakeland Industries Inc,Consumer Discretionary,Common stocks,Micro cap
VNCE,Vince Holding Corp,Consumer Discretionary,Common stocks,Micro cap
DLA,Delta Apparel Inc,Consumer Discretionary,Common stocks,Micro cap
JRSH,Jerash Holdings US Inc,Consumer Discretionary,Common stocks,Micro cap
EVK,Ever-Glory International Group Inc.,Materials,Common stocks,Micro cap
XELB,Xcel Brands Inc,Consumer Discretionary,Common stocks,Micro cap
LLL,JX Luxventure Limited,Consumer Discretionary,Common stocks,Micro cap
TJX,"TJX Companies, Inc.",Consumer Discretionary,Common stocks,Large cap
LULU,Lululemon Athletica Inc,Consumer Discretionary,Common stocks,Large cap
ROST,Ross Stores Inc,Consumer Discretionary,Common stocks,Large cap
BURL,Burlington Stores Inc,Consumer Discretionary,Common stocks,Large cap
ONON,On Holding AG,Consumer Discretionary,Common stocks,Mid cap
GPS,Gap Inc,Consumer Discretionary,Common stocks,Mid cap
CRI,Carters Inc,Consumer Discretionary,Common stocks,Mid cap
AEO,American Eagle Outfitters Inc,Consumer Discretionary,Common stocks,Mid cap
VSCO,Victorias Secret & Co.,Consumer Discretionary,Common stocks,Mid cap
URBN,Urban Outfitters Inc,Consumer Discretionary,Common stocks,Mid cap
BOOT,Boot Barn Holdings Inc,Consumer Discretionary,Common stocks,Mid cap
BKE,Buckle Inc,Consumer Discretionary,Common stocks,Small cap
ANF,Abercrombie And Fitch,Consumer Discretionary,Common stocks,Small cap
GES,Guess Inc,Consumer Discretionary,Common stocks,Small cap
CHS,Chicos FAS Inc,Consumer Discretionary,Common stocks,Small cap
GIII,"G-III Apparel Group, LTD.",Consumer Discretionary,Common stocks,Small cap
SCVL,Shoe Carnival Inc,Consumer Discretionary,Common stocks,Small cap
DBI,Designer Brands Inc. Class A,Consumer Discretionary,Common stocks,Small cap
PLCE,Childrens Place Inc,Consumer Discretionary,Common stocks,Small cap
GCO,Genesco Inc,Consumer Discretionary,Common stocks,Small cap
ZUMZ,Zumiez Inc,Consumer Discretionary,Common stocks,Small cap
DXLG,"Destination XL Group, Inc",Consumer Discretionary,Common stocks,Small cap
CURV,Torrid Holdings Inc.,Consumer Discretionary,Common stocks,Micro cap
JILL,J Jill Inc,Consumer Discretionary,Common stocks,Micro cap
DLTH,Duluth Holdings Inc Class B,Consumer Discretionary,Common stocks,Micro cap
BIRD,"Allbirds, Inc.",Consumer Discretionary,Common stocks,Micro cap
CATO,Cato Corp Class A,Consumer Discretionary,Common stocks,Micro cap
RENT,"Rent the Runway, Inc.",Consumer Discretionary,Common stocks,Micro cap
TLYS,Tillys Inc Class A,Consumer Discretionary,Common stocks,Micro cap
CTRN,Citi Trends Inc,Consumer Discretionary,Common stocks,Micro cap
LVLU,"Lulus Fashion Lounge Holdings, Inc.",Consumer Discretionary,Common stocks,Micro cap
EXPR,Express Inc,Consumer Discretionary,Common stocks,Micro cap
DBGI,"Digital Brands Group, Inc.",Consumer Discretionary,Common stocks,Micro cap
BLK,Blackrock Inc,Financials,Common stocks,Large cap
BX,Blackstone Group Inc. Class A,Financials,Common stocks,Large cap
KKR,KKR & Co Inc.,Financials,Common stocks,Large cap
BK,Bank Of New York Mellon Corp,Financials,Common stocks,Large cap
APO,Apollo Global Management LLC,Financials,MLPs,Large cap
AMP,Ameriprise Finance Inc,Financials,Common stocks,Large cap
STT,State Street Corp,Financials,Common stocks,Large cap
TROW,T Rowe Price Group Inc,Financials,Common stocks,Large cap
NTRS,Northern Trust Corporation,Financials,Common stocks,Large cap
ARES,Ares Management Corporation Class A,Financials,Common stocks,Large cap
BEN,Franklin Resources Inc,Financials,Common stocks,Large cap
BAM,Brookfield Asset Management Inc.,Financials,Common stocks,Large cap
CG,Carlyle Group,Financials,Common stocks,Large cap
GRAB,Grab Holdings Limited - Class A,Industrials,Common stocks,Large cap
SEIC,SEI Investments,Financials,Common stocks,Mid cap
IVZ,Invesco Ltd,Financials,Common stocks,Mid cap
AMG,Affiliated Managers Group Inc,Financials,Common stocks,Mid cap
OWL,Blue Owl Capital Inc. Class A,Financials,Common stocks,Mid cap
BIPC,Brookfield Infrastructure Partners LP Class A Subordinate Voting Shares,Utilities,Common stocks,Mid cap
ATCO,Atlas Corp.,Industrials,Common stocks,Mid cap
JHG,Janus Henderson Group Plc,Financials,Common stocks,Mid cap
AB,AllianceBernstein Holding LP,Financials,MLPs,Mid cap
FHI,"Federated Hermes, Inc.",Financials,Common stocks,Mid cap
CNS,Cohen & Steers Inc,Financials,Common stocks,Mid cap
JXN,Jackson Financial Inc. Class A,Financials,Common stocks,Mid cap
HLNE,Hamilton Lane Inc Class A,Financials,Common stocks,Mid cap
AMK,"AssetMark Financial Holdings, Inc.",Financials,Common stocks,Mid cap
CIXX,CI Financial Corp.,Financials,Common stocks,Mid cap
APAM,Artisan Partners Asset Management,Financials,Common stocks,Mid cap
TPG,TPG Inc. - Class A,Financials,Common stocks,Small cap
VCTR,"Victory Capital Holdings, Inc. Class A",Financials,Common stocks,Small cap
BUR,Burford Capital Limited,Financials,Common stocks,Small cap
STEP,StepStone Group Inc. Class A,Financials,Common stocks,Small cap
BCOR,Blucora Inc,Financials,Common stocks,Small cap
BBUC,Brookfield Business Corporation Class A Exchangeable Subordinate Voting Shares,Industrials,Common stocks,Small cap
VRTS,Virtus Investment Partners Inc,Financials,Common stocks,Small cap
NOAH,Noah Holdings ADRs,Financials,ADRs,Small cap
SII,Sprott Inc.,Financials,Common stocks,Small cap
BSIG,Brightsphere Investment Group,Financials,Common stocks,Small cap
PAX,Patria Investments Ltd,Financials,Common stocks,Small cap
WETF,Wisdomtree Investments Inc,Financials,Common stocks,Small cap
DHIL,Diamond Hill Investment Group Inc,Financials,Common stocks,Small cap
PUYI,Puyi Inc. ADRs,Financials,ADRs,Small cap
PX,"P10, Inc.",Financials,Common stocks,Small cap
VINP,Vinci Partners Investments Ltd.,Financials,Common stocks,Small cap
MSB,Mesabi Trust,Materials,Royalty trusts,Small cap
GCMG,GCM Grosvenor Inc. - Class A,Financials,Common stocks,Small cap
MN,Manning And Napier Inc Class A,Financials,Common stocks,Micro cap
SWKH,SWK Holdings Corporation,Financials,Common stocks,Micro cap
SCU,"Sculptor Capital Management, Inc. Class A",Financials,Common stocks,Micro cap
HYW,Hywin Holdings Ltd. ADRs,Financials,ADRs,Micro cap
PZN,Pzena Investment Management Inc Class A,Financials,Common stocks,Micro cap
SAMG,Silvercrest Asset Management Group,Financials,Common stocks,Micro cap
AAMC,Altisource Asset Management Corp,Real Estate,Common stocks,Micro cap
