cik,company_name,fiscal_period,fiscal_year,filing_date,is_basic_earnings_per_share_unit,is_basic_earnings_per_share_value,is_cost_of_revenue_unit,is_cost_of_revenue_value,is_gross_profit_unit,is_gross_profit_value,is_operating_expenses_unit,is_operating_expenses_value,is_revenues_unit,is_revenues_value,ci_comprehensive_income_loss_unit,ci_comprehensive_income_loss_value,ci_comprehensive_income_loss_attributable_to_parent_unit,ci_comprehensive_income_loss_attributable_to_parent_value,ci_other_comprehensive_income_loss_unit,ci_other_comprehensive_income_loss_value,cfs_exchange_gains_losses_unit,cfs_exchange_gains_losses_value,cfs_net_cash_flow_unit,cfs_net_cash_flow_value,cfs_net_cash_flow_from_financing_activities_unit,cfs_net_cash_flow_from_financing_activities_value,bs_assets_unit,bs_assets_value,bs_current_assets_unit,bs_current_assets_value,bs_liabilities_and_equity_unit,bs_liabilities_and_equity_value,bs_fixed_assets_unit,bs_fixed_assets_value,bs_equity_attributable_to_noncontrolling_interest_unit,bs_equity_attributable_to_noncontrolling_interest_value,bs_noncurrent_assets_unit,bs_noncurrent_assets_value,bs_liabilities_unit,bs_liabilities_value,bs_other_than_fixed_noncurrent_assets_unit,bs_other_than_fixed_noncurrent_assets_value,bs_equity_attributable_to_parent_unit,bs_equity_attributable_to_parent_value,bs_noncurrent_liabilities_unit,bs_noncurrent_liabilities_value,bs_current_liabilities_unit,bs_current_liabilities_value,bs_equity_unit,bs_equity_value,cfs_net_cash_flow_from_op_and_inv
0001755672,"Corteva, Inc.",Q2,2023,2023-08-04,USD / shares,1.0,USD,3137000000.0,USD,2908000000.0,USD,3992000000.0,USD,6045000000.0,USD,779000000.0,USD,776000000.0,USD,62000000.0,USD,11000000.0,USD,895000000.0,USD,105000000.0,USD,44189000000.0,USD,17207000000.0,USD,44189000000.0,USD,4306000000.0,USD,241000000.0,USD,26982000000.0,USD,17728000000.0,USD,22676000000.0,USD,26220000000.0,USD,7382000000.0,USD,10346000000.0,USD,26461000000.0,790000000.0
0001755672,"Corteva, Inc.",Q1,2023,2023-05-04,USD / shares,0.84,USD,2771000000.0,USD,2113000000.0,USD,1337000000.0,USD,4884000000.0,USD,666000000.0,USD,662000000.0,USD,67000000.0,USD,-2000000.0,USD,-1550000000.0,USD,3274000000.0,USD,45500000000.0,USD,18329000000.0,USD,45500000000.0,USD,4271000000.0,USD,240000000.0,USD,27171000000.0,USD,-25839000000.0,USD,22900000000.0,USD,25599000000.0,USD,6430000000.0,USD,13231000000.0,USD,25839000000.0,-4824000000.0
0000037785,FMC CORP,Q2,2023,2023-08-03,USD / shares,0.24,USD,581700000.0,USD,432800000.0,USD,300600000.0,USD,1014500000.0,USD,-1200000.0,USD,-1800000.0,USD,-33600000.0,,,USD,447400000.0,USD,354300000.0,USD,11951700000.0,USD,6266800000.0,USD,11951700000.0,USD,867900000.0,USD,24400000.0,USD,5684900000.0,USD,8574300000.0,USD,4817000000.0,USD,3353000000.0,USD,4221600000.0,USD,4352700000.0,USD,3377400000.0,93100000.0
0000037785,FMC CORP,Q1,2023,2023-05-02,USD / shares,1.56,USD,763000000.0,USD,581300000.0,USD,276800000.0,USD,1344300000.0,USD,187600000.0,USD,186800000.0,USD,-8300000.0,,,USD,-78000000.0,USD,840300000.0,USD,11732100000.0,USD,6021800000.0,USD,11732100000.0,USD,862700000.0,USD,23800000.0,USD,5710300000.0,USD,-3494500000.0,USD,4847600000.0,USD,3470700000.0,USD,0.0,USD,4668300000.0,USD,3494500000.0,-918300000.0
0001285785,MOSAIC CO,Q2,2023,2023-08-02,USD / shares,1.11,USD,2822900000.0,USD,571100000.0,USD,201900000.0,USD,3394000000.0,USD,515200000.0,USD,503800000.0,USD,136100000.0,USD,9200000.0,USD,163800000.0,USD,-606600000.0,USD,23140200000.0,USD,5711700000.0,USD,23140200000.0,USD,13094600000.0,USD,150400000.0,USD,17428500000.0,USD,10584800000.0,USD,4333900000.0,USD,12405000000.0,USD,5745400000.0,USD,4839400000.0,USD,12555400000.0,770400000.0
0001285785,MOSAIC CO,Q1,2023,2023-05-04,USD / shares,1.3,USD,2933900000.0,USD,670400000.0,USD,125800000.0,USD,3604300000.0,USD,505900000.0,USD,481000000.0,USD,46900000.0,USD,4300000.0,USD,-277100000.0,USD,-209000000.0,USD,22857500000.0,USD,5853400000.0,USD,22857500000.0,USD,12789200000.0,USD,162700000.0,USD,17004100000.0,USD,-12056500000.0,USD,4214900000.0,USD,11893800000.0,USD,0.0,USD,5167600000.0,USD,12056500000.0,-68100000.0
0001324404,"CF Industries Holdings, Inc.",Q2,2023,2023-08-03,USD / shares,2.71,USD,971000000.0,USD,804000000.0,USD,70000000.0,USD,1775000000.0,USD,631000000.0,USD,552000000.0,USD,25000000.0,USD,4000000.0,USD,394000000.0,USD,-229000000.0,USD,13537000000.0,USD,4072000000.0,USD,13537000000.0,USD,6218000000.0,USD,2716000000.0,USD,9465000000.0,USD,5017000000.0,USD,3247000000.0,USD,5804000000.0,USD,4395000000.0,USD,622000000.0,USD,8520000000.0,623000000.0
0001324404,"CF Industries Holdings, Inc.",Q1,2023,2023-05-02,USD / shares,2.86,USD,1149000000.0,USD,863000000.0,USD,37000000.0,USD,2012000000.0,USD,656000000.0,USD,566000000.0,USD,6000000.0,USD,-1000000.0,USD,502000000.0,USD,-410000000.0,USD,13398000000.0,USD,3848000000.0,USD,13398000000.0,USD,6294000000.0,USD,2637000000.0,USD,9550000000.0,USD,-8090000000.0,USD,3256000000.0,USD,5453000000.0,USD,0.0,USD,862000000.0,USD,8090000000.0,912000000.0
0000825542,SCOTTS MIRACLE-GRO CO,Q3,2023,2023-08-09,USD / shares,0.78,USD,880100000.0,USD,205900000.0,USD,128600000.0,USD,1118700000.0,USD,50300000.0,USD,50300000.0,USD,6600000.0,USD,100000.0,USD,2400000.0,USD,-536300000.0,USD,4454400000.0,USD,2251000000.0,USD,4454400000.0,USD,590300000.0,USD,0.0,USD,2203400000.0,USD,4319600000.0,USD,1613100000.0,USD,134800000.0,USD,2990500000.0,USD,1329100000.0,USD,134800000.0,538700000.0
0000825542,SCOTTS MIRACLE-GRO CO,Q2,2023,2023-05-10,USD / shares,1.95,USD,1000100000.0,USD,412700000.0,USD,206500000.0,USD,1531500000.0,USD,91600000.0,USD,91600000.0,USD,-17800000.0,USD,200000.0,USD,-600000.0,USD,119100000.0,USD,4988100000.0,USD,2842400000.0,USD,4988100000.0,USD,588900000.0,USD,0.0,USD,2145700000.0,USD,4850600000.0,USD,1556800000.0,USD,137500000.0,USD,0.0,USD,1372500000.0,USD,137500000.0,-119700000.0
