cik,company_name,filing_date,is_basic_earnings_per_share_unit,is_basic_earnings_per_share_value,is_cost_of_revenue_unit,is_cost_of_revenue_value,is_gross_profit_unit,is_gross_profit_value,is_operating_expenses_unit,is_operating_expenses_value,is_revenues_unit,is_revenues_value,ci_comprehensive_income_loss_unit,ci_comprehensive_income_loss_value,ci_comprehensive_income_loss_attributable_to_parent_unit,ci_comprehensive_income_loss_attributable_to_parent_value,ci_other_comprehensive_income_loss_unit,ci_other_comprehensive_income_loss_value,cfs_exchange_gains_losses_unit,cfs_exchange_gains_losses_value,cfs_net_cash_flow_unit,cfs_net_cash_flow_value,cfs_net_cash_flow_from_financing_activities_unit,cfs_net_cash_flow_from_financing_activities_value,bs_assets_unit,bs_assets_value,bs_current_assets_unit,bs_current_assets_value,bs_liabilities_and_equity_unit,bs_liabilities_and_equity_value,bs_fixed_assets_unit,bs_fixed_assets_value,bs_equity_attributable_to_noncontrolling_interest_unit,bs_equity_attributable_to_noncontrolling_interest_value,bs_noncurrent_assets_unit,bs_noncurrent_assets_value,bs_liabilities_unit,bs_liabilities_value,bs_other_than_fixed_noncurrent_assets_unit,bs_other_than_fixed_noncurrent_assets_value,bs_equity_attributable_to_parent_unit,bs_equity_attributable_to_parent_value,bs_noncurrent_liabilities_unit,bs_noncurrent_liabilities_value,bs_current_liabilities_unit,bs_current_liabilities_value,bs_equity_unit,bs_equity_value,cfs_net_cash_flow_from_op_and_inv
1705843,"Calyxt, Inc.",2023-05-01,USD / shares,-1.09,USD,0.0,USD,42000.0,USD,4505000.0,USD,42000.0,USD,-5394000.0,USD,-5394000.0,USD,0.0,,,USD,0.0,USD,903000.0,USD,20285000.0,USD,2583000.0,USD,20285000.0,USD,4104000.0,USD,0.0,USD,17702000.0,USD,17618000.0,USD,13598000.0,USD,2667000.0,USD,0.0,USD,4215000.0,USD,2667000.0,-903000.0
96021,SYSCO CORP,2023-05-02,USD / shares,0.85,USD,15444316000.0,USD,3431360000.0,USD,2737183000.0,USD,18875676000.0,USD,473507000.0,USD,473507000.0,USD,43903000.0,USD,4027000.0,USD,268819000.0,USD,-495578000.0,USD,22702033000.0,USD,10898594000.0,USD,22702033000.0,USD,4649356000.0,USD,0.0,USD,11803439000.0,USD,21126731000.0,USD,7154083000.0,USD,1575302000.0,USD,12112992000.0,USD,8980735000.0,USD,1575302000.0,764397000.0
1747748,Qualtrics International Inc.,2023-05-02,USD / shares,-0.43,USD,123182000.0,USD,286588000.0,USD,540419000.0,USD,409770000.0,USD,-258213000.0,USD,-258213000.0,USD,-258213000.0,USD,545000.0,USD,86826000.0,USD,5863000.0,USD,3347651000.0,USD,1357290000.0,USD,3347651000.0,USD,223328000.0,USD,0.0,USD,1990361000.0,USD,1447835000.0,USD,1767033000.0,USD,1899816000.0,USD,321354000.0,USD,1126481000.0,USD,1899816000.0,80963000.0
1853021,Metals Acquisition Corp,2023-05-02,,,,87502000.0,,,,61616000.0,,116920000.0,USD,-5227142.0,USD,-5227142.0,USD,0.0,,,USD,0.0,USD,1001400.0,USD,273648481.0,USD,292656.0,USD,273648481.0,,,USD,0.0,USD,273355825.0,USD,34093210.0,,,USD,-32202095.0,USD,10992098.0,USD,23101112.0,USD,-32202095.0,-1001400.0
1604643,Evoqua Water Technologies Corp.,2023-05-02,USD / shares,0.09,USD,325901000.0,USD,151896000.0,USD,125555000.0,USD,477797000.0,USD,5868000.0,USD,5868000.0,USD,-4764000.0,USD,1016000.0,USD,8540000.0,USD,2778000.0,USD,2209570000.0,USD,844441000.0,USD,2209570000.0,USD,414080000.0,USD,0.0,USD,1365129000.0,USD,1470265000.0,USD,951049000.0,USD,739305000.0,USD,995774000.0,USD,474491000.0,USD,739305000.0,5762000.0
1590976,"MALIBU BOATS, INC.",2023-05-03,USD / shares,2.53,USD,276545000.0,USD,98574000.0,USD,28311000.0,USD,375119000.0,USD,53041000.0,USD,51489000.0,USD,-411000.0,USD,-117000.0,USD,-14690000.0,USD,-50585000.0,USD,882169000.0,USD,308307000.0,USD,882169000.0,USD,198437000.0,USD,9275000.0,USD,573862000.0,USD,248898000.0,USD,375425000.0,USD,623996000.0,USD,101426000.0,USD,147472000.0,USD,633271000.0,35895000.0
45876,HARSCO CORP,2023-05-03,USD / shares,-0.12,USD,400688000.0,USD,94965000.0,USD,65960000.0,USD,495653000.0,USD,-1438000.0,USD,-2731000.0,USD,7152000.0,USD,-1072000.0,USD,11142000.0,USD,-2159000.0,USD,2824994000.0,USD,792660000.0,USD,2824994000.0,USD,665191000.0,USD,54495000.0,USD,2032334000.0,USD,2201042000.0,USD,1367143000.0,USD,569457000.0,USD,0.0,USD,618278000.0,USD,623952000.0,13301000.0
1516912,"Origin Bancorp, Inc.",2023-05-03,USD / shares,0.79,,87502000.0,,,USD,89567000.0,USD,120141000.0,USD,24302000.0,USD,45696000.0,USD,0.0,,,USD,466139000.0,USD,655188000.0,USD,10358516000.0,USD,10358516000.0,USD,10358516000.0,USD,104047000.0,USD,0.0,USD,0.0,USD,9365929000.0,USD,-104047000.0,USD,992587000.0,USD,0.0,USD,-992587000.0,USD,992587000.0,-189049000.0
1069899,PHIBRO ANIMAL HEALTH CORP,2023-05-03,USD / shares,0.25,USD,170133000.0,USD,75540000.0,USD,56987000.0,USD,245673000.0,USD,8819000.0,USD,8819000.0,USD,8819000.0,USD,50000.0,USD,-31184000.0,USD,284000.0,USD,965432000.0,USD,585483000.0,USD,965432000.0,USD,188939000.0,USD,0.0,USD,379949000.0,USD,693104000.0,USD,191010000.0,USD,272328000.0,USD,527796000.0,USD,165308000.0,USD,272328000.0,-31468000.0
1037390,"INDUS REALTY TRUST, INC.",2023-05-03,USD / shares,-0.57,,87502000.0,,,,61616000.0,,116920000.0,USD,-8244000.0,USD,-8244000.0,USD,-2467000.0,,,USD,-28599000.0,USD,-2411000.0,USD,591121000.0,USD,591121000.0,USD,591121000.0,USD,1741000.0,USD,0.0,USD,0.0,USD,203461000.0,USD,-1741000.0,USD,387660000.0,USD,0.0,USD,203461000.0,USD,387660000.0,-26188000.0
1377789,"AVIAT NETWORKS, INC.",2023-05-03,USD / shares,0.43,USD,53647000.0,USD,29833000.0,USD,22337000.0,USD,83480000.0,USD,5259000.0,USD,5259000.0,USD,5259000.0,USD,-32000.0,USD,1112000.0,USD,6161000.0,USD,364662000.0,USD,236504000.0,USD,364662000.0,USD,10570000.0,USD,0.0,USD,128158000.0,USD,149308000.0,USD,117588000.0,USD,215354000.0,USD,16088000.0,USD,133220000.0,USD,215354000.0,-5049000.0
944314,"LIFE STORAGE, INC.",2023-05-03,USD / shares,0.96,,87502000.0,,,USD,158864000.0,USD,273602000.0,USD,83495000.0,USD,81828000.0,USD,229000.0,,,USD,9429000.0,USD,-83746000.0,USD,7376554000.0,USD,7376554000.0,USD,7376554000.0,,,USD,4913000.0,USD,0.0,USD,3574985000.0,,,USD,3565193000.0,USD,0.0,USD,3574985000.0,USD,3570106000.0,93175000.0
37472,FLEXSTEEL INDUSTRIES INC,2023-05-03,USD / shares,0.28,USD,80407000.0,USD,18645000.0,USD,16529000.0,USD,99052000.0,USD,1475000.0,USD,1475000.0,USD,0.0,,,USD,635000.0,USD,-3764000.0,USD,267787000.0,USD,160415000.0,USD,267787000.0,USD,38405000.0,USD,0.0,USD,107372000.0,USD,134984000.0,USD,68967000.0,USD,132803000.0,USD,81207000.0,USD,53777000.0,USD,132803000.0,4399000.0
1121142,Maxar Technologies Inc.,2023-05-03,USD / shares,-0.19,,87502000.0,,,USD,406000000.0,USD,419000000.0,USD,-22000000.0,USD,-22000000.0,USD,-8000000.0,,,USD,-15000000.0,USD,-2000000.0,USD,4640000000.0,USD,628000000.0,USD,4640000000.0,USD,1113000000.0,USD,1000000.0,USD,4012000000.0,USD,3277000000.0,USD,2899000000.0,USD,1362000000.0,USD,2498000000.0,USD,779000000.0,USD,1363000000.0,-13000000.0
1863099,Kimbell Tiger Acquisition Corp,2023-05-03,,,,87502000.0,,,,61616000.0,,116920000.0,USD,1730611.0,USD,1730611.0,USD,0.0,,,USD,-289920.0,,-657000.0,USD,243240845.0,USD,243240845.0,USD,243240845.0,,,USD,108325.0,USD,0.0,USD,246588504.0,,,USD,-3455984.0,USD,236900000.0,USD,9688504.0,USD,-3347659.0,411707.0
1575051,Sisecam Resources LP,2023-05-03,,,USD,158300000.0,USD,48800000.0,USD,7000000.0,USD,207100000.0,USD,300000.0,USD,-500000.0,USD,-40000000.0,,,USD,-2700000.0,USD,-33100000.0,USD,617500000.0,USD,293000000.0,USD,617500000.0,USD,296000000.0,USD,175100000.0,USD,324500000.0,USD,222100000.0,USD,28500000.0,USD,220300000.0,USD,132300000.0,USD,89800000.0,USD,395400000.0,30400000.0
1497645,"Summit Hotel Properties, Inc.",2023-05-03,USD / shares,-0.05,,87502000.0,,,USD,164181000.0,USD,182383000.0,USD,-6358000.0,USD,-4869000.0,USD,-4388000.0,,,USD,10023000.0,USD,3425000.0,USD,3028257000.0,USD,3028257000.0,USD,3028257000.0,,,USD,446428000.0,USD,0.0,USD,1585391000.0,,,USD,946219000.0,USD,0.0,USD,1585391000.0,USD,1392647000.0,6598000.0
1852940,GoGreen Investments Corp,2023-05-04,,,,87502000.0,,,,61616000.0,,116920000.0,USD,1301058.0,USD,1301058.0,USD,0.0,,,USD,317122.0,USD,3060000.0,USD,291172327.0,USD,157129.0,USD,291172327.0,,,USD,0.0,USD,291015198.0,USD,8400323.0,,,USD,1247841.0,USD,0.0,USD,8400323.0,USD,1247841.0,-2742878.0
1739936,MOMENTIVE GLOBAL INC.,2023-05-04,USD / shares,-0.16,USD,20557000.0,USD,98264000.0,USD,119518000.0,USD,118821000.0,USD,-22810000.0,USD,-22810000.0,USD,1005000.0,USD,213000.0,USD,-3605000.0,USD,-550000.0,USD,802196000.0,USD,256574000.0,USD,802196000.0,USD,630000.0,USD,0.0,USD,545622000.0,USD,517337000.0,USD,544992000.0,USD,284859000.0,USD,231487000.0,USD,285850000.0,USD,284859000.0,-3055000.0
788920,PRO DEX INC,2023-05-04,USD / shares,0.37,USD,9268000.0,USD,3811000.0,USD,1746000.0,USD,13079000.0,USD,1313000.0,USD,1313000.0,USD,0.0,,,USD,1706000.0,USD,-497000.0,USD,46975000.0,USD,31145000.0,USD,46975000.0,USD,5162000.0,,,USD,15830000.0,USD,21136000.0,USD,10668000.0,,,USD,10992000.0,USD,10144000.0,,,2203000.0
1828376,William Penn Bancorporation,2023-05-04,USD / shares,0.01,,87502000.0,,,USD,7470000.0,USD,7608000.0,USD,1821000.0,USD,1821000.0,USD,1821000.0,,,USD,735000.0,USD,-11939000.0,USD,862372000.0,USD,862372000.0,USD,862372000.0,USD,10946000.0,USD,0.0,USD,0.0,USD,688326000.0,USD,-10946000.0,USD,174046000.0,USD,0.0,USD,688326000.0,USD,174046000.0,12674000.0
1831617,"Diversey Holdings, Ltd.",2023-05-04,USD / shares,-0.17,USD,476400000.0,USD,219600000.0,USD,249500000.0,USD,696000000.0,USD,-52600000.0,USD,-52600000.0,USD,-52600000.0,USD,200000.0,USD,-79900000.0,USD,-7700000.0,USD,4210300000.0,USD,1157800000.0,USD,4210300000.0,USD,260200000.0,USD,0.0,USD,3052500000.0,USD,3581500000.0,USD,2792300000.0,USD,628800000.0,USD,2583000000.0,USD,998500000.0,USD,628800000.0,-72200000.0
718332,"RAVE RESTAURANT GROUP, INC.",2023-05-04,USD / shares,0.02,USD,0.0,,,USD,2532000.0,USD,2970000.0,USD,323000.0,USD,323000.0,USD,0.0,,,USD,438000.0,USD,0.0,USD,13490000.0,USD,5756000.0,USD,13490000.0,USD,283000.0,USD,0.0,USD,7734000.0,USD,3820000.0,USD,7451000.0,USD,9670000.0,USD,1784000.0,USD,2036000.0,USD,9670000.0,438000.0
1338065,"DCP Midstream, LP",2023-05-04,,,USD,2228000000.0,USD,498000000.0,USD,377000000.0,USD,2726000000.0,USD,212000000.0,USD,211000000.0,USD,0.0,,,USD,-1000000.0,USD,-64000000.0,USD,12884000000.0,USD,1270000000.0,USD,12884000000.0,USD,7759000000.0,USD,24000000.0,USD,11614000000.0,USD,6736000000.0,USD,11614000000.0,USD,6124000000.0,USD,0.0,USD,1389000000.0,USD,6148000000.0,63000000.0
849146,Lifevantage Corp,2023-05-04,USD / shares,0.08,USD,10618000.0,USD,43123000.0,USD,41524000.0,USD,53741000.0,USD,1036000.0,USD,1036000.0,USD,1036000.0,USD,12000.0,USD,2159000.0,USD,-306000.0,USD,67082000.0,USD,44342000.0,USD,67082000.0,USD,9454000.0,USD,0.0,USD,22740000.0,USD,33640000.0,USD,13286000.0,USD,33442000.0,USD,12238000.0,USD,21402000.0,USD,33442000.0,2465000.0
1827075,CVENT HOLDING CORP.,2023-05-05,USD / shares,-0.07,USD,60691000.0,USD,105514000.0,USD,132414000.0,USD,166205000.0,USD,-31762000.0,USD,-31762000.0,USD,881000.0,USD,2185000.0,USD,4832000.0,USD,-64873000.0,USD,2256773000.0,USD,307877000.0,USD,2256773000.0,USD,14577000.0,USD,0.0,USD,1948896000.0,USD,658052000.0,USD,1934319000.0,USD,1598721000.0,USD,189329000.0,USD,468723000.0,USD,1598721000.0,69705000.0
1794905,"Cyxtera Technologies, Inc.",2023-05-05,USD / shares,-1.81,,87502000.0,,,USD,488600000.0,USD,196700000.0,USD,-323100000.0,USD,-323100000.0,USD,-323100000.0,USD,-5100000.0,USD,-3200000.0,USD,22200000.0,USD,2769600000.0,USD,147400000.0,USD,2769600000.0,,,USD,0.0,USD,2622200000.0,USD,2705300000.0,,,USD,64300000.0,USD,2362100000.0,USD,343200000.0,USD,64300000.0,-25400000.0
1617242,Kearny Financial Corp.,2023-05-05,USD / shares,0.16,,87502000.0,,,USD,-12304000.0,USD,910000.0,USD,6280000.0,USD,6280000.0,USD,-4032000.0,,,USD,118908000.0,USD,47529000.0,USD,8349336000.0,USD,8349336000.0,USD,8349336000.0,USD,49589000.0,USD,0.0,USD,0.0,USD,7483106000.0,USD,-49589000.0,USD,866230000.0,USD,0.0,USD,7483106000.0,USD,866230000.0,71379000.0
1038133,HESKA CORP,2023-05-05,USD / shares,-0.97,USD,34982000.0,USD,27399000.0,USD,37822000.0,USD,62381000.0,USD,-7525000.0,USD,-7525000.0,USD,2600000.0,USD,438000.0,USD,-31409000.0,USD,-128000.0,USD,592715000.0,USD,238621000.0,USD,592715000.0,USD,55030000.0,USD,0.0,USD,354094000.0,USD,175044000.0,USD,299064000.0,USD,417671000.0,USD,132746000.0,USD,42298000.0,USD,417671000.0,-31281000.0
763532,LSI INDUSTRIES INC,2023-05-05,USD / shares,0.16,USD,85266000.0,USD,32204000.0,USD,24472000.0,USD,117470000.0,USD,4786000.0,USD,4786000.0,USD,4786000.0,,,USD,-1479000.0,USD,-13206000.0,USD,291019000.0,USD,145822000.0,USD,291019000.0,,,USD,0.0,USD,145197000.0,USD,123276000.0,,,USD,167743000.0,USD,57239000.0,USD,66037000.0,USD,167743000.0,11727000.0
1324272,"Ruths Hospitality Group, Inc.",2023-05-05,USD / shares,0.35,USD,104047000.0,USD,32810000.0,USD,18787000.0,USD,136857000.0,USD,11342000.0,USD,11342000.0,USD,0.0,,,USD,-7002000.0,USD,-21211000.0,USD,501543000.0,USD,56204000.0,USD,501543000.0,USD,152132000.0,USD,0.0,USD,445339000.0,USD,361905000.0,USD,293207000.0,USD,139638000.0,USD,239639000.0,USD,122266000.0,USD,139638000.0,14209000.0
1606757,"Kimball Electronics, Inc.",2023-05-05,USD / shares,0.66,USD,441731000.0,USD,42972000.0,USD,17752000.0,USD,484703000.0,USD,20114000.0,USD,20114000.0,USD,3714000.0,,,USD,5138000.0,USD,15713000.0,USD,1268941000.0,USD,947687000.0,USD,1268941000.0,USD,258058000.0,USD,0.0,USD,321254000.0,USD,765755000.0,USD,63196000.0,USD,503186000.0,USD,259827000.0,USD,505928000.0,USD,503186000.0,-10575000.0
1010470,PROVIDENT FINANCIAL HOLDINGS INC,2023-05-05,USD / shares,0.33,,87502000.0,,,USD,8719000.0,USD,12008000.0,USD,2331000.0,USD,2331000.0,USD,8000.0,,,USD,35931000.0,USD,60367000.0,USD,1335280000.0,USD,1335280000.0,USD,1335280000.0,USD,9193000.0,USD,0.0,USD,0.0,USD,1205874000.0,USD,-9193000.0,USD,129406000.0,USD,0.0,USD,1205874000.0,USD,129406000.0,-24436000.0
1511737,Ubiquiti Inc.,2023-05-05,USD / shares,1.63,USD,269297000.0,USD,188476000.0,USD,54951000.0,USD,457773000.0,USD,98577000.0,USD,98577000.0,USD,98577000.0,,,USD,-6985000.0,USD,157402000.0,USD,1375197000.0,USD,1152392000.0,USD,1375197000.0,USD,85122000.0,USD,0.0,USD,222805000.0,USD,1559672000.0,USD,137683000.0,USD,-184475000.0,USD,1197292000.0,USD,362380000.0,USD,-184475000.0,-164387000.0
1831096,"Great Elm Group, Inc.",2023-05-05,USD / shares,0.4,,87502000.0,,,USD,4767000.0,USD,1898000.0,USD,11748000.0,USD,11748000.0,USD,0.0,,,USD,64327000.0,USD,-29218000.0,USD,137382000.0,USD,124272000.0,USD,137382000.0,,,USD,0.0,USD,13110000.0,USD,68925000.0,,,USD,68457000.0,USD,63294000.0,USD,5631000.0,USD,68457000.0,93545000.0
1015155,CHARLES & COLVARD LTD,2023-05-05,USD / shares,-0.28,USD,4493125.0,USD,2148674.0,USD,4320793.0,USD,6641799.0,USD,-8396008.0,USD,-8396008.0,USD,0.0,,,USD,-1054663.0,USD,0.0,USD,56373050.0,USD,25677912.0,USD,56373050.0,USD,2317738.0,USD,0.0,USD,30695138.0,USD,7385760.0,USD,30695138.0,USD,48987290.0,USD,2251581.0,USD,5134179.0,USD,48987290.0,-1054663.0
1375365,"Super Micro Computer, Inc.",2023-05-05,USD / shares,1.61,USD,1056937000.0,USD,226359000.0,USD,127277000.0,USD,1283296000.0,USD,85917000.0,USD,85917000.0,USD,70000.0,USD,-576000.0,USD,58212000.0,USD,-131470000.0,USD,3192604000.0,USD,2715175000.0,USD,3192604000.0,USD,290038000.0,USD,166000.0,USD,477429000.0,USD,1424031000.0,USD,187391000.0,USD,1768407000.0,USD,331651000.0,USD,1092380000.0,USD,1768573000.0,189682000.0
1885754,Motive Capital Corp II,2023-05-05,,,,87502000.0,,,,61616000.0,,116920000.0,USD,3564971.0,USD,3564971.0,USD,0.0,,,USD,-85000.0,,-657000.0,USD,358179313.0,USD,1593553.0,USD,358179313.0,,,USD,0.0,USD,356585760.0,USD,12097215.0,,,USD,-10403662.0,USD,11948105.0,USD,149110.0,USD,-10403662.0,411707.0
1612630,JOINT Corp,2023-05-05,USD / shares,0.16,USD,2624163.0,USD,25826135.0,USD,26504372.0,USD,28450298.0,USD,2301036.0,USD,2301036.0,USD,0.0,,,USD,4954187.0,USD,129809.0,USD,98050712.0,USD,23558122.0,USD,98050712.0,,,USD,25000.0,USD,74492590.0,USD,62948315.0,,,USD,35077397.0,USD,37978457.0,USD,24969858.0,USD,35102397.0,4824378.0
1387467,ALPHA & OMEGA SEMICONDUCTOR Ltd,2023-05-08,USD / shares,-0.68,USD,101774000.0,USD,30786000.0,USD,45188000.0,USD,132560000.0,USD,-15159000.0,USD,-15159000.0,USD,3748000.0,USD,43000.0,USD,-21929000.0,USD,-10943000.0,USD,1253307000.0,USD,475350000.0,USD,1253307000.0,USD,358157000.0,USD,0.0,USD,777957000.0,USD,366049000.0,USD,419800000.0,USD,887258000.0,USD,151732000.0,USD,214317000.0,USD,887258000.0,-10986000.0
55772,KIMBALL INTERNATIONAL INC,2023-05-08,USD / shares,0.16,USD,103705000.0,USD,62479000.0,USD,58301000.0,USD,166184000.0,USD,5297000.0,USD,5297000.0,USD,-394000.0,,,USD,4705000.0,USD,-14234000.0,USD,382799000.0,USD,173650000.0,USD,382799000.0,USD,96740000.0,USD,0.0,USD,209149000.0,USD,203293000.0,USD,112409000.0,USD,179506000.0,USD,80448000.0,USD,122845000.0,USD,179506000.0,18939000.0
1517022,"Akebia Therapeutics, Inc.",2023-05-08,USD / shares,-0.14,USD,19484000.0,USD,20643000.0,USD,45581000.0,USD,40127000.0,USD,-26217000.0,USD,-26217000.0,USD,-26217000.0,,,USD,0.0,USD,-15966000.0,USD,276858000.0,USD,120719000.0,USD,276858000.0,USD,4816000.0,USD,0.0,USD,156139000.0,USD,291210000.0,USD,151323000.0,USD,-14352000.0,USD,208266000.0,USD,82944000.0,USD,-14352000.0,15966000.0
1138723,ACCURAY INC,2023-05-08,USD / shares,0.01,USD,79342000.0,USD,38718000.0,USD,36402000.0,USD,118060000.0,USD,1400000.0,USD,1400000.0,USD,1400000.0,,,,-36747.5,,-657000.0,USD,475720000.0,USD,342915000.0,USD,475720000.0,USD,11722000.0,USD,0.0,USD,132805000.0,USD,421015000.0,USD,121083000.0,USD,54705000.0,USD,229186000.0,USD,191829000.0,USD,54705000.0,411707.0
69633,"NAPCO SECURITY TECHNOLOGIES, INC",2023-05-08,USD / shares,0.29,USD,20861000.0,USD,22671000.0,USD,10739000.0,USD,43532000.0,USD,10840000.0,USD,10840000.0,USD,0.0,,,USD,-492000.0,USD,37000.0,USD,165282000.0,USD,130642000.0,USD,165282000.0,USD,9335000.0,USD,0.0,USD,34640000.0,USD,24587000.0,USD,25305000.0,USD,140695000.0,USD,6804000.0,USD,17783000.0,USD,140695000.0,-529000.0
1584754,"Akoustis Technologies, Inc.",2023-05-08,USD / shares,-0.23,USD,8472000.0,USD,-1116000.0,USD,16166000.0,USD,7356000.0,USD,-15545000.0,USD,-15545000.0,USD,0.0,,,USD,6180000.0,USD,32025000.0,USD,157505000.0,USD,68219000.0,USD,157505000.0,USD,57313000.0,USD,0.0,USD,89286000.0,USD,57046000.0,USD,31973000.0,USD,100459000.0,USD,45239000.0,USD,11807000.0,USD,100459000.0,-25845000.0
93676,STARRETT L S CO,2023-05-08,USD / shares,1.01,USD,42455000.0,USD,19223000.0,USD,15109000.0,USD,61678000.0,USD,8974000.0,USD,8974000.0,USD,8974000.0,USD,15000.0,USD,-362000.0,USD,-10351000.0,USD,193865000.0,USD,122620000.0,USD,193865000.0,USD,38160000.0,USD,0.0,USD,71245000.0,USD,76809000.0,USD,33085000.0,USD,117056000.0,USD,39162000.0,USD,37647000.0,USD,117056000.0,9989000.0
866273,MATRIX SERVICE CO,2023-05-09,USD / shares,-0.47,USD,182476000.0,USD,4419000.0,USD,17178000.0,USD,186895000.0,USD,-12920000.0,USD,-12920000.0,USD,-234000.0,,,USD,16762000.0,USD,64000.0,USD,425947000.0,USD,284764000.0,USD,425947000.0,USD,50541000.0,USD,0.0,USD,141183000.0,USD,245944000.0,USD,90642000.0,USD,180003000.0,USD,37535000.0,USD,208409000.0,USD,180003000.0,16698000.0
77159,Ranger Oil Corp,2023-05-09,USD / shares,2.74,,87502000.0,,,USD,154183000.0,USD,258148000.0,USD,113823000.0,USD,52014000.0,USD,32000.0,,,USD,4762000.0,USD,15530000.0,USD,2086632000.0,USD,194302000.0,USD,2086632000.0,USD,1874836000.0,USD,631763000.0,USD,1892330000.0,USD,923031000.0,USD,17494000.0,USD,531838000.0,USD,650953000.0,USD,272078000.0,USD,1163601000.0,-10768000.0
1564406,"Oak Street Health, Inc.",2023-05-09,USD / shares,-0.19,,87502000.0,,,USD,795400000.0,USD,752000000.0,USD,-42800000.0,USD,-44100000.0,USD,1400000.0,,,USD,-2300000.0,USD,43500000.0,USD,2321400000.0,USD,1621400000.0,USD,2321400000.0,USD,213000000.0,USD,3600000.0,USD,700000000.0,USD,2588100000.0,USD,487000000.0,USD,-270300000.0,USD,1385000000.0,USD,1203100000.0,USD,-266700000.0,-45800000.0
