ticker,cik,symbol,description,gics_sector,equity_securities,cap_size,sector_revenue_total_(trillions),total_cap_(trillions)
AAPL,320193,AAPL,Apple Inc,Information Technology,Common stocks,Large cap,5.8,46.3
MSFT,789019,MSFT,Microsoft Corp,Information Technology,Common stocks,Large cap,5.8,46.3
UNH,731766,UNH,Unitedhealth Group Inc,Health Care,Common stocks,Large cap,2.8,46.3
JNJ,200406,JNJ,Johnson & Johnson,Health Care,Common stocks,Large cap,2.8,46.3
V,1403161,V,Visa Inc Class A,Information Technology,Common stocks,Large cap,5.8,46.3
TSM,1046179,TSM,Taiwan Semiconductor Manufacturing Co Ltd ADRs,Information Technology,ADRs,Large cap,5.8,46.3
XOM,34088,XOM,Exxon Mobil Corp,Energy,Common stocks,Large cap,2.2,46.3
WMT,104169,WMT,Walmart Stores Inc,Consumer Staples,Common stocks,Large cap,2.6,46.3
JPM,19617,JPM,JP Morgan Chase & Co,Financials,Common stocks,Large cap,2.7,46.3
PG,80424,PG,Procter & Gamble,Consumer Staples,Common stocks,Large cap,2.6,46.3
NVDA,1045810,NVDA,Nvidia Corp,Information Technology,Common stocks,Large cap,5.8,46.3
MA,1141391,MA,Mastercard Inc Class A,Information Technology,Common stocks,Large cap,5.8,46.3
CVX,93410,CVX,Chevron Corp,Energy,Common stocks,Large cap,2.2,46.3
TSLA,1318605,TSLA,Tesla Inc,Consumer Discretionary,Common stocks,Large cap,2.9,46.3
LLY,59478,LLY,Eli Lilly,Health Care,Common stocks,Large cap,2.8,46.3
HD,354950,HD,Home Depot Inc,Consumer Discretionary,Common stocks,Large cap,2.9,46.3
BAC,70858,BAC,Bank of America Corp,Financials,Common stocks,Large cap,2.7,46.3
PFE,78003,PFE,Pfizer Inc,Health Care,Common stocks,Large cap,2.8,46.3
KO,21344,KO,Coca-Cola,Consumer Staples,Common stocks,Large cap,2.6,46.3
ABBV,1551152,ABBV,Abbvie Inc,Health Care,Common stocks,Large cap,2.8,46.3
BABA,1577552,BABA,Alibaba Group Holding Ltd ADRs,Consumer Discretionary,ADRs,Large cap,2.9,46.3
NVO,353278,NVO,Novo Nordisk A/S ADRs,Health Care,ADRs,Large cap,2.8,46.3
PEP,77476,PEP,Pepsico Inc,Consumer Staples,Common stocks,Large cap,2.6,46.3
COST,909832,COST,Costco Wholesale Corp,Consumer Staples,Common stocks,Large cap,2.6,46.3
MRK,310158,MRK,Merck & Co Inc,Health Care,Common stocks,Large cap,2.8,46.3
TMO,97745,TMO,Thermo Fisher Scientific Inc,Health Care,Common stocks,Large cap,2.8,46.3
AVGO,1730168,AVGO,Broadcom Inc.,Information Technology,Common stocks,Large cap,5.8,46.3
DHR,313616,DHR,Danaher Corp,Health Care,Common stocks,Large cap,2.8,46.3
DIS,1744489,DIS,Walt Disney,Communication Services,Common stocks,Large cap,1.6,46.3
TM,1094517,TM,Toyota Motor Corp ADRs,Consumer Discretionary,ADRs,Large cap,2.9,46.3
MCD,63908,MCD,Mcdonalds Corp,Consumer Discretionary,Common stocks,Large cap,2.9,46.3
ASML,937966,ASML,ASML Holding NV ADRs,Information Technology,ADRs,Large cap,5.8,46.3
ORCL,1341439,ORCL,Oracle Corp,Information Technology,Common stocks,Large cap,5.8,46.3
ABT,1800,ABT,Abbott Laboratories,Health Care,Common stocks,Large cap,2.8,46.3
CSCO,858877,CSCO,Cisco Systems Inc,Information Technology,Common stocks,Large cap,5.8,46.3
NVS,1114448,NVS,Novartis AG ADRs,Health Care,ADRs,Large cap,2.8,46.3
AZN,901832,AZN,AstraZeneca PLC ADRs,Health Care,ADRs,Large cap,2.8,46.3
TMUS,1283699,TMUS,T Mobile US Inc,Communication Services,Common stocks,Large cap,1.6,46.3
WFC,72971,WFC,Wells Fargo,Financials,Common stocks,Large cap,2.7,46.3
ACN,1467373,ACN,Accenture Plc Class A,Information Technology,Common stocks,Large cap,5.8,46.3
VZ,732712,VZ,Verizon Communications Inc,Communication Services,Common stocks,Large cap,1.6,46.3
NEE,753308,NEE,Nextera Energy Inc,Utilities,Common stocks,Large cap,,
NKE,320187,NKE,Nike Inc Class B,Consumer Discretionary,Common stocks,Large cap,2.9,46.3
UPS,1090727,UPS,United Parcel Service Inc Class B,Industrials,Common stocks,Large cap,2.7,46.3
BMY,14272,BMY,Bristol Myers Squibb,Health Care,Common stocks,Large cap,2.8,46.3
MS,895421,MS,Morgan Stanley,Financials,Common stocks,Large cap,2.7,46.3
CMCSA,1166691,CMCSA,Comcast A Corp,Communication Services,Common stocks,Large cap,1.6,46.3
CRM,1108524,CRM,Salesforce.Com Inc,Information Technology,Common stocks,Large cap,5.8,46.3
