Symbol,Description,GICS sector,Category1,Category2,Category3,Market Cap,Average Volume,Actions
GRP=,Granite Real Estate Inc. Stapled Units Each Consisting Of One Unit Of Trust And One Common Share Of Granite Reit Inc.,Real Estate,US Equity,Units,Mid cap,"$3,765,774,087","2,252",Analyze
FEXDR,Fintech Ecosystem Development Corp. Right,Unknown,US Equity,Rights,Micro cap,"$121,803,337","6,395",Analyze
HHGCR,HHG Capital Corporation Rights,Unknown,US Equity,Rights,Micro cap,"$78,134,650","7,577",Analyze
GRP=,Granite Real Estate Inc. Stapled Units Each Consisting Of One Unit Of Trust And One Common Share Of Granite Reit Inc.,Real Estate,US Equity,Units,Mid cap,"$3,765,774,087","2,252",Analyze
FEXDR,Fintech Ecosystem Development Corp. Right,Unknown,US Equity,Rights,Micro cap,"$121,803,337","6,395",Analyze
HHGCR,HHG Capital Corporation Rights,Unknown,US Equity,Rights,Micro cap,"$78,134,650","7,577",Analyze
CTVA,"Corteva, Inc.",Materials,US Equity,Common stocks,Large cap,"$40,483,113,967","4,083,745",Analyze
NTR,Nutrien Ltd.,Materials,US Equity,Common stocks,Large cap,"$36,586,606,605","2,479,812",Analyze
FMC,FMC Corp,Materials,US Equity,Common stocks,Large cap,"$14,636,582,004","934,942",Analyze
MOS,Mosaic,Materials,US Equity,Common stocks,Large cap,"$14,462,199,011","5,072,753",Analyze
CF,CF Industries Holdings Inc,Materials,US Equity,Common stocks,Large cap,"$13,718,196,870","3,131,380",Analyze
ICL,Israel Chemicals Limited,Materials,US Equity,Common stocks,Mid cap,"$8,611,799,354","1,793,418",Analyze
SMG,Scotts Miracle Gro,Materials,US Equity,Common stocks,Mid cap,"$3,771,421,459","610,653",Analyze
UAN,CVR Partners LP,Materials,US Equity,MLPs,Small cap,"$919,135,634","141,492",Analyze
AVD,American Vanguard Corp,Materials,US Equity,Common stocks,Small cap,"$639,926,392","186,687",Analyze
BIOX,Bioceres Crop Solutions Corp.,Materials,US Equity,Common stocks,Small cap,"$441,046,854","58,884",Analyze
IPI,Intrepid Potash Inc,Materials,US Equity,Common stocks,Small cap,"$337,027,810","223,385",Analyze
