Sector,Sector Revenue Total (Trillions),Total Cap (Trillions),url
Consumer Discretionary,2.9,46.30,https://simplywall.st/markets/us/consumer-discretionary
Consumer Staples,2.6,46.30,https://simplywall.st/markets/us/consumer-staples
Energy,2.2,46.30,https://simplywall.st/markets/us/energy
Financials,2.7,46.30,https://simplywall.st/markets/us/financials
Health Care,2.8,46.30,https://simplywall.st/markets/us/healthcare
Industrials,2.7,46.30,https://simplywall.st/markets/us/industrials
Materials,0.9,46.30,https://simplywall.st/markets/us/materials
Real Estate,0.6,46.30,Enhancing Equity Index Portfolio Returns using Select Sectors - CME Group
Information Technology,5.8,46.30,Enhancing Equity Index Portfolio Returns using Select Sectors - CME Group
Communication Services,1.6,46.30,https://simplywall.st/markets/us/tech/communications
Uttilities,0.6,46.30,https://simplywall.st/markets/us/utilities
